"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_479192","chr6",136772500,136782500,10001,"*",44,17.4603174603175,"window_479192","101928429",136784045,136786280,2236,"+",1544,"upstream",1544,"LOC101928429","uncharacterized LOC101928429"
"window_479991","chr6",138770000,138780000,10001,"*",44,17.4603174603175,"window_479991","25901",138773509,138793319,19811,"+",0,"overlapStart",0,"CCDC28A","coiled-coil domain containing 28A"
"window_479991.1","chr6",138770000,138780000,10001,"*",44,17.4603174603175,"window_479991","100507462",138725211,138773652,48442,"-",0,"overlapStart",0,"CCDC28A-AS1","CCDC28A antisense RNA 1"
"window_481859","chr6",143440000,143450000,10001,"*",44,17.4603174603175,"window_481859","134637",143422832,143450695,27864,"-",0,"inside",694,"ADAT2","adenosine deaminase tRNA specific 2"
"window_481859.1","chr6",143440000,143450000,10001,"*",44,17.4603174603175,"window_481859","8504",143450805,143507327,56523,"+",804,"upstream",804,"PEX3","peroxisomal biogenesis factor 3"
"window_482800","chr6",145792500,145802500,10001,"*",44,17.4603174603175,"window_482800","100507557",145799409,145887430,88022,"+",0,"overlapStart",0,"FBXO30-DT","FBXO30 divergent transcript"
"window_484092","chr6",149022500,149032500,10001,"*",44,17.4603174603175,"window_484092","105378047",149027700,149032573,4874,"-",0,"overlapEnd",72,"UST-AS2","UST antisense RNA 2"
"window_484278","chr6",149487500,149497500,10001,"*",44,17.4603174603175,"window_484278","340152",149446795,149485014,38220,"-",2485,"upstream",2485,"ZC3H12D","zinc finger CCCH-type containing 12D"
"window_484629","chr6",150365000,150375000,10001,"*",44,17.4603174603175,"window_484629","389434",150368892,150405969,37078,"+",0,"overlapStart",0,"IYD","iodotyrosine deiodinase"
"window_484630","chr6",150367500,150377500,10001,"*",44,17.4603174603175,"window_484630","389434",150368892,150405969,37078,"+",0,"overlapStart",0,"IYD","iodotyrosine deiodinase"
"window_484975","chr6",151230000,151240000,10001,"*",44,17.4603174603175,"window_484975","102723831",151088103,151228447,140345,"-",1552,"upstream",1552,"LOC102723831","uncharacterized LOC102723831"
"window_484975.1","chr6",151230000,151240000,10001,"*",44,17.4603174603175,"window_484975","9590",151239967,151358559,118593,"+",0,"overlapStart",0,"AKAP12","A-kinase anchoring protein 12"
"window_485431","chr6",152370000,152380000,10001,"*",44,17.4603174603175,"window_485431","100505475",152380546,152381564,1019,"+",545,"upstream",545,"SYNE1-AS1","SYNE1 antisense RNA 1"
"window_486606","chr6",155307500,155317500,10001,"*",44,17.4603174603175,"window_486606","51106",155253139,155314493,61355,"-",0,"overlapStart",0,"TFB1M","transcription factor B1, mitochondrial"
"window_487941","chr6",158645000,158655000,10001,"*",44,17.4603174603175,"window_487941","6993",158636474,158644743,8270,"-",256,"upstream",256,"DYNLT1","dynein light chain Tctex-type 1"
"window_487941.1","chr6",158645000,158655000,10001,"*",44,17.4603174603175,"window_487941","94120",158650014,158764876,114863,"+",0,"overlapStart",0,"SYTL3","synaptotagmin like 3"
"window_488025","chr6",158855000,158865000,10001,"*",44,17.4603174603175,"window_488025","202459",158841117,158857632,16516,"-",0,"overlapStart",0,"OSTCP1","oligosaccharyltransferase complex subunit pseudogene 1"
"window_492182","chr6",169247500,169257500,10001,"*",44,17.4603174603175,"window_492182","7058",169215780,169254044,38265,"-",0,"overlapStart",0,"THBS2","thrombospondin 2"
"window_492183","chr6",169250000,169260000,10001,"*",44,17.4603174603175,"window_492183","7058",169215780,169254044,38265,"-",0,"overlapStart",0,"THBS2","thrombospondin 2"
"window_492184","chr6",169252500,169262500,10001,"*",44,17.4603174603175,"window_492184","7058",169215780,169254044,38265,"-",0,"overlapStart",0,"THBS2","thrombospondin 2"
"window_493296","chr7",1225000,1235000,10001,"*",44,17.4603174603175,"window_493296","340260",1232872,1237326,4455,"+",0,"overlapStart",0,"UNCX","UNC homeobox"
"window_493877","chr7",2677500,2687500,10001,"*",44,17.4603174603175,"window_493877","155185",2679522,2765125,85604,"+",0,"overlapStart",0,"AMZ1","archaelysin family metallopeptidase 1"
"window_494790","chr7",4960000,4970000,10001,"*",44,17.4603174603175,"window_494790","221938",4905989,4959213,53225,"-",786,"upstream",786,"MMD2","monocyte to macrophage differentiation associated 2"
"window_497178","chr7",10930000,10940000,10001,"*",44,17.4603174603175,"window_497178","4697",10931943,10940153,8211,"-",0,"overlapEnd",152,"NDUFA4","NDUFA4 mitochondrial complex associated"
"window_503185","chr7",25947500,25957500,10001,"*",44,17.4603174603175,"window_503185","406940",25949919,25949986,68,"-",0,"includeFeature",0,"MIR148A","microRNA 148a"
