"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_640368","chr8",53515000,53525000,10001,"*",34,13.4920634920635,"window_640368","100507516",53493523,53524336,30814,"-",0,"overlapStart",0,"LOC100507516","uncharacterized LOC100507516"
"window_656440","chr8",93695000,93705000,10001,"*",34,13.4920634920635,"window_656440","137392",93698561,93731527,32967,"+",0,"overlapStart",0,"CIBAR1","CBY1 interacting BAR domain containing 1"
"window_656440.1","chr8",93695000,93705000,10001,"*",34,13.4920634920635,"window_656440","642924",93213310,93700433,487124,"-",0,"overlapStart",0,"LINC00535","long intergenic non-protein coding RNA 535"
"window_658204","chr8",98105000,98115000,10001,"*",34,13.4920634920635,"window_658204","10247",98102344,98117171,14828,"-",0,"inside",2170,"RIDA","reactive intermediate imine deaminase A homolog"
"window_658204.1","chr8",98105000,98115000,10001,"*",34,13.4920634920635,"window_658204","10940",98117293,98159835,42543,"+",2292,"upstream",2292,"POP1","POP1 homolog, ribonuclease P/MRP subunit"
"window_659252","chr8",100725000,100735000,10001,"*",34,13.4920634920635,"window_659252","26986",100685816,100722762,36947,"-",2237,"upstream",2237,"PABPC1","poly(A) binding protein cytoplasmic 1"
"window_662477","chr8",108787500,108797500,10001,"*",34,13.4920634920635,"window_662477","157753",108606850,108787594,180745,"-",0,"overlapStart",0,"TMEM74","transmembrane protein 74"
"window_666410","chr8",118620000,118630000,10001,"*",34,13.4920634920635,"window_666410","552860",118620498,118906155,285658,"+",0,"overlapStart",0,"SAMD12-AS1","SAMD12 antisense RNA 1"
"window_666410.1","chr8",118620000,118630000,10001,"*",34,13.4920634920635,"window_666410","401474",118189455,118622112,432658,"-",0,"overlapStart",0,"SAMD12","sterile alpha motif domain containing 12"
"window_668418","chr8",123640000,123650000,10001,"*",34,13.4920634920635,"window_668418","340359",123645527,123652950,7424,"-",0,"overlapEnd",2949,"KLHL38","kelch like family member 38"
"window_668656","chr8",124235000,124245000,10001,"*",34,13.4920634920635,"window_668656","101927588",124192671,124247398,54728,"-",0,"inside",2397,"LOC101927588","uncharacterized LOC101927588"
"window_668657","chr8",124237500,124247500,10001,"*",34,13.4920634920635,"window_668657","101927588",124192671,124247398,54728,"-",0,"overlapStart",0,"LOC101927588","uncharacterized LOC101927588"
"window_668852","chr8",124725000,124735000,10001,"*",34,13.4920634920635,"window_668852","9788",124550790,124728429,177640,"-",0,"overlapStart",0,"MTSS1","MTSS I-BAR domain containing 1"
