"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_60581","chr1",151450000,151460000,10001,"*",117,46.4285714285714,"window_60581","23126",151402724,151459494,56771,"-",0,"overlapStart",0,"POGZ","pogo transposable element derived with ZNF domain"
"window_60615","chr1",151535000,151545000,10001,"*",117,46.4285714285714,"window_60615","7286",151540305,151583583,43279,"+",0,"overlapStart",0,"TUFT1","tuftelin 1"
"window_60615.1","chr1",151535000,151545000,10001,"*",117,46.4285714285714,"window_60615","693139",151545796,151545891,96,"+",795,"upstream",795,"MIR554","microRNA 554"
"window_61412","chr1",153527500,153537500,10001,"*",117,46.4285714285714,"window_61412","6277",153534599,153536244,1646,"-",0,"includeFeature",0,"S100A6","S100 calcium binding protein A6"
"window_62369","chr1",155920000,155930000,10001,"*",117,46.4285714285714,"window_62369","677823",155919909,155920045,137,"-",0,"overlapStart",0,"SNORA80E","small nucleolar RNA, H/ACA box 80E"
"window_62369.1","chr1",155920000,155930000,10001,"*",117,46.4285714285714,"window_62369","677771",155925958,155926086,129,"-",0,"includeFeature",0,"SCARNA4","small Cajal body-specific RNA 4"
"window_63212","chr1",158027500,158037500,10001,"*",117,46.4285714285714,"window_63212","100505785",158025550,158031166,5617,"+",0,"overlapEnd",1949,"KIRREL1-IT1","KIRREL1 intronic transcript 1"
"window_64102","chr1",160252500,160262500,10001,"*",117,46.4285714285714,"window_64102","100287049",160261741,160263328,1588,"+",0,"overlapStart",0,"LOC100287049","uncharacterized LOC100287049"
"window_67644","chr1",169107500,169117500,10001,"*",117,46.4285714285714,"window_67644","481",169105697,169132722,27026,"+",0,"inside",1802,"ATP1B1","ATPase Na+/K+ transporting subunit beta 1"
"window_67793","chr1",169480000,169490000,10001,"*",117,46.4285714285714,"window_67793","10560",169463909,169485944,22036,"-",0,"overlapStart",0,"SLC19A2","solute carrier family 19 member 2"
"window_72198","chr1",180492500,180502500,10001,"*",117,46.4285714285714,"window_72198","84320",180275380,180502577,227198,"-",0,"inside",76,"ACBD6","acyl-CoA binding domain containing 6"
"window_72198.1","chr1",180492500,180502500,10001,"*",117,46.4285714285714,"window_72198","100527964",180269653,180502954,233302,"-",0,"inside",453,"LHX4-AS1","LHX4 antisense RNA 1"
"window_72253","chr1",180630000,180640000,10001,"*",117,46.4285714285714,"window_72253","9213",180632022,180890279,258258,"+",0,"overlapStart",0,"XPR1","xenotropic and polytropic retrovirus receptor 1"
"window_73385","chr1",183460000,183470000,10001,"*",117,46.4285714285714,"window_73385","284649",183460874,183471754,10881,"-",0,"overlapEnd",1753,"SMG7-AS1","SMG7 antisense RNA 1"
"window_73385.1","chr1",183460000,183470000,10001,"*",117,46.4285714285714,"window_73385","9887",183472216,183598246,126031,"+",2215,"upstream",2215,"SMG7","SMG7 nonsense mediated mRNA decay factor"
"window_73451","chr1",183625000,183635000,10001,"*",117,46.4285714285714,"window_73451","10092",183620846,183635783,14938,"-",0,"inside",782,"ARPC5","actin related protein 2/3 complex subunit 5"
"window_73451.1","chr1",183625000,183635000,10001,"*",117,46.4285714285714,"window_73451","23179",183636085,183928531,292447,"+",1084,"upstream",1084,"RGL1","ral guanine nucleotide dissociation stimulator like 1"
"window_81186","chr1",202962500,202972500,10001,"*",117,46.4285714285714,"window_81186","51706",202961873,202967275,5403,"-",0,"overlapStart",0,"CYB5R1","cytochrome b5 reductase 1"
"window_84552","chr1",211377500,211387500,10001,"*",117,46.4285714285714,"window_84552","84791",211382736,211435333,52598,"+",0,"overlapStart",0,"LINC00467","long intergenic non-protein coding RNA 467"
"window_85114","chr1",212782500,212792500,10001,"*",117,46.4285714285714,"window_85114","25936",212726153,212791782,65630,"-",0,"overlapStart",0,"NSL1","NSL1 component of MIS12 kinetochore complex"
"window_85114.1","chr1",212782500,212792500,10001,"*",117,46.4285714285714,"window_85114","128387",212791828,212816830,25003,"+",0,"overlapStart",0,"TATDN3","TatD DNase domain containing 3"
"window_90169","chr1",225420000,225430000,10001,"*",117,46.4285714285714,"window_90169","3930",225401502,225428925,27424,"-",0,"overlapStart",0,"LBR","lamin B receptor"
"window_92390","chr1",230972500,230982500,10001,"*",117,46.4285714285714,"window_92390","79573",230906243,230978875,72633,"-",0,"overlapStart",0,"TTC13","tetratricopeptide repeat domain 13"
"window_92390.1","chr1",230972500,230982500,10001,"*",117,46.4285714285714,"window_92390","64801",230978981,231000733,21753,"+",0,"overlapStart",0,"ARV1","ARV1 homolog, fatty acid homeostasis modulator"
"window_92392","chr1",230977500,230987500,10001,"*",117,46.4285714285714,"window_92392","79573",230906243,230978875,72633,"-",0,"overlapStart",0,"TTC13","tetratricopeptide repeat domain 13"
"window_92392.1","chr1",230977500,230987500,10001,"*",117,46.4285714285714,"window_92392","64801",230978981,231000733,21753,"+",0,"overlapStart",0,"ARV1","ARV1 homolog, fatty acid homeostasis modulator"
"window_97859","chr1",244645000,244655000,10001,"*",117,46.4285714285714,"window_97859","51029",244653103,244709033,55931,"+",0,"overlapStart",0,"DESI2","desumoylating isopeptidase 2"
"window_106684","chr2",17750000,17760000,10001,"*",117,46.4285714285714,"window_106684","348654",17753858,17788946,35089,"+",0,"overlapStart",0,"GEN1","GEN1 Holliday junction 5' flap endonuclease"
"window_107004","chr2",18550000,18560000,10001,"*",117,46.4285714285714,"window_107004","57665",18554723,18560679,5957,"-",0,"overlapEnd",678,"RDH14","retinol dehydrogenase 14"
"window_107673","chr2",20222500,20232500,10001,"*",117,46.4285714285714,"window_107673","6382",20200797,20225433,24637,"-",0,"overlapStart",0,"SDC1","syndecan 1"
"window_109998","chr2",26035000,26045000,10001,"*",117,46.4285714285714,"window_109998","10890",26034084,26137454,103371,"+",0,"inside",915,"RAB10","RAB10, member RAS oncogene family"
"window_110540","chr2",27390000,27400000,10001,"*",117,46.4285714285714,"window_110540","2498",27392784,27393367,584,"-",0,"includeFeature",0,"FTH1P3","ferritin heavy chain 1 pseudogene 3"
"window_110541","chr2",27392500,27402500,10001,"*",117,46.4285714285714,"window_110541","2498",27392784,27393367,584,"-",0,"includeFeature",0,"FTH1P3","ferritin heavy chain 1 pseudogene 3"
"window_114443","chr2",37147500,37157500,10001,"*",117,46.4285714285714,"window_114443","5610",37099210,37157065,57856,"-",0,"overlapStart",0,"EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2"
"window_117250","chr2",44165000,44175000,10001,"*",117,46.4285714285714,"window_117250","5495",44167969,44244384,76416,"+",0,"overlapStart",0,"PPM1B","protein phosphatase, Mg2+/Mn2+ dependent 1B"
"window_117250.1","chr2",44165000,44175000,10001,"*",117,46.4285714285714,"window_117250","6519",44168851,44321494,152644,"+",0,"overlapStart",0,"SLC3A1","solute carrier family 3 member 1"
"window_124056","chr2",61180000,61190000,10001,"*",117,46.4285714285714,"window_124056","130872",61177418,61191203,13786,"+",0,"inside",2581,"AHSA2P","activator of HSP90 ATPase homolog 2, pseudogene"
"window_129173","chr2",73972500,73982500,10001,"*",117,46.4285714285714,"window_129173","100874048",73947322,73981441,34120,"-",0,"overlapStart",0,"DGUOK-AS1","DGUOK antisense RNA 1"
"window_129173.1","chr2",73972500,73982500,10001,"*",117,46.4285714285714,"window_129173","200424",73985132,74108176,123045,"+",2631,"upstream",2631,"TET3","tet methylcytosine dioxygenase 3"
"window_129178","chr2",73985000,73995000,10001,"*",117,46.4285714285714,"window_129178","200424",73985132,74108176,123045,"+",0,"overlapStart",0,"TET3","tet methylcytosine dioxygenase 3"
"window_133724","chr2",85350000,85360000,10001,"*",117,46.4285714285714,"window_133724","84173",85354394,85391752,37359,"+",0,"overlapStart",0,"ELMOD3","ELMO domain containing 3"
"window_133724.1","chr2",85350000,85360000,10001,"*",117,46.4285714285714,"window_133724","54884",85341955,85354531,12577,"-",0,"overlapStart",0,"RETSAT","retinol saturase"
"window_133725","chr2",85352500,85362500,10001,"*",117,46.4285714285714,"window_133725","84173",85354394,85391752,37359,"+",0,"overlapStart",0,"ELMOD3","ELMO domain containing 3"
"window_133725.1","chr2",85352500,85362500,10001,"*",117,46.4285714285714,"window_133725","54884",85341955,85354531,12577,"-",0,"overlapStart",0,"RETSAT","retinol saturase"
"window_133819","chr2",85587500,85597500,10001,"*",117,46.4285714285714,"window_133819","51255",85595725,85597708,1984,"+",0,"overlapStart",0,"RNF181","ring finger protein 181"
"window_138309","chr2",96812500,96822500,10001,"*",117,46.4285714285714,"window_138309","100506036",96812239,96813657,1419,"-",0,"overlapStart",0,"CNNM3-DT","CNNM3 divergent transcript"
"window_138309.1","chr2",96812500,96822500,10001,"*",117,46.4285714285714,"window_138309","26505",96816245,96835382,19138,"+",0,"overlapStart",0,"CNNM3","cyclin and CBS domain divalent metal cation transport mediator 3"
"window_139910","chr2",100815000,100825000,10001,"*",117,46.4285714285714,"window_139910","4862",100820139,100996829,176691,"+",0,"overlapStart",0,"NPAS2","neuronal PAS domain protein 2"
"window_139911","chr2",100817500,100827500,10001,"*",117,46.4285714285714,"window_139911","4862",100820139,100996829,176691,"+",0,"overlapStart",0,"NPAS2","neuronal PAS domain protein 2"
"window_140092","chr2",101270000,101280000,10001,"*",117,46.4285714285714,"window_140092","692205",101272936,101273049,114,"-",0,"includeFeature",0,"SNORD89","small nucleolar RNA, C/D box 89"
"window_143852","chr2",110670000,110680000,10001,"*",117,46.4285714285714,"window_143852","699",110637528,110678063,40536,"-",0,"overlapStart",0,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase"
"window_146788","chr2",118010000,118020000,10001,"*",117,46.4285714285714,"window_146788","54520",117915478,118014133,98656,"-",0,"overlapStart",0,"CCDC93","coiled-coil domain containing 93"
"window_150498","chr2",127285000,127295000,10001,"*",117,46.4285714285714,"window_150498","2071",127257290,127294176,36887,"-",0,"overlapStart",0,"ERCC3","ERCC excision repair 3, TFIIH core complex helicase subunit"
"window_153978","chr2",135985000,135995000,10001,"*",117,46.4285714285714,"window_153978","101928243",135985176,136022593,37418,"+",0,"overlapStart",0,"DARS1-AS1","DARS1 antisense RNA 1"
"window_153978.1","chr2",135985000,135995000,10001,"*",117,46.4285714285714,"window_153978","1615",135905881,135986100,80220,"-",0,"overlapStart",0,"DARS1","aspartyl-tRNA synthetase 1"
"window_170538","chr2",177385000,177395000,10001,"*",117,46.4285714285714,"window_170538","100130691",177283508,177392691,109184,"-",0,"overlapStart",0,"LOC100130691","uncharacterized LOC100130691"
"window_170538.1","chr2",177385000,177395000,10001,"*",117,46.4285714285714,"window_170538","4780",177227595,177392697,165103,"-",0,"overlapStart",0,"NFE2L2","nuclear factor, erythroid 2 like 2"
"window_170538.2","chr2",177385000,177395000,10001,"*",117,46.4285714285714,"window_170538","8540",177392757,177559299,166543,"+",0,"overlapStart",0,"AGPS","alkylglycerone phosphate synthase"
"window_178580","chr2",197490000,197500000,10001,"*",117,46.4285714285714,"window_178580","3336",197500140,197503449,3310,"+",139,"upstream",139,"HSPE1","heat shock protein family E (Hsp10) member 1"
"window_178580.1","chr2",197490000,197500000,10001,"*",117,46.4285714285714,"window_178580","100529241",197500413,197550726,50314,"+",412,"upstream",412,"HSPE1-MOB4","HSPE1-MOB4 readthrough"
"window_178581","chr2",197492500,197502500,10001,"*",117,46.4285714285714,"window_178581","3336",197500140,197503449,3310,"+",0,"overlapStart",0,"HSPE1","heat shock protein family E (Hsp10) member 1"
"window_178581.1","chr2",197492500,197502500,10001,"*",117,46.4285714285714,"window_178581","100529241",197500413,197550726,50314,"+",0,"overlapStart",0,"HSPE1-MOB4","HSPE1-MOB4 readthrough"
"window_179938","chr2",200885000,200895000,10001,"*",117,46.4285714285714,"window_179938","53938",200870907,200889303,18397,"-",0,"overlapStart",0,"PPIL3","peptidylprolyl isomerase like 3"
"window_179938.1","chr2",200885000,200895000,10001,"*",117,46.4285714285714,"window_179938","60491",200889327,200903938,14612,"+",0,"overlapStart",0,"NIF3L1","NGG1 interacting factor 3 like 1"
"window_180394","chr2",202025000,202035000,10001,"*",117,46.4285714285714,"window_180394","8324",202034587,202038445,3859,"+",0,"overlapStart",0,"FZD7","frizzled class receptor 7"
"window_182446","chr2",207155000,207165000,10001,"*",117,46.4285714285714,"window_182446","105373853",207166120,207248668,82549,"+",1119,"upstream",1119,"MYOSLID","myocardin-induced smooth muscle lncRNA, inducer of differentiation"
"window_182446.1","chr2",207155000,207165000,10001,"*",117,46.4285714285714,"window_182446","102465835",207166400,207166498,99,"+",1399,"upstream",1399,"MIR7845","microRNA 7845"
"window_182446.2","chr2",207155000,207165000,10001,"*",117,46.4285714285714,"window_182446","8609",207074137,207167267,93131,"-",0,"inside",2266,"KLF7","Kruppel like factor 7"
"window_187397","chr2",219532500,219542500,10001,"*",117,46.4285714285714,"window_187397","130612",219543663,219550595,6933,"+",1162,"upstream",1162,"TMEM198","transmembrane protein 198"
"window_187397.1","chr2",219532500,219542500,10001,"*",117,46.4285714285714,"window_187397","79586",219538948,219543809,4862,"-",0,"overlapEnd",1308,"CHPF","chondroitin polymerizing factor"
"window_195763","chr2",240447500,240457500,10001,"*",117,46.4285714285714,"window_195763","406941",240456001,240456089,89,"+",0,"includeFeature",0,"MIR149","microRNA 149"
"window_195763.1","chr2",240447500,240457500,10001,"*",117,46.4285714285714,"window_195763","100130449",240449315,240456714,7400,"-",0,"includeFeature",0,"LOC100130449","uncharacterized LOC100130449"
"window_195804","chr2",240550000,240560000,10001,"*",117,46.4285714285714,"window_195804","285193",240560054,240564014,3961,"+",53,"upstream",53,"DUSP28","dual specificity phosphatase 28"
