"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_997994","chr15",40472500,40482500,10001,"*",99,39.2857142857143,"window_997994","113189",40470998,40474571,3574,"+",0,"overlapEnd",1501,"CHST14","carbohydrate sulfotransferase 14"
"window_998561","chr15",41890000,41900000,10001,"*",99,39.2857142857143,"window_998561","105370792",41892777,41899528,6752,"+",0,"includeFeature",0,"LOC105370792","uncharacterized LOC105370792"
"window_998561.1","chr15",41890000,41900000,10001,"*",99,39.2857142857143,"window_998561","51332",41848146,41894053,45908,"-",0,"overlapStart",0,"SPTBN5","spectrin beta, non-erythrocytic 5"
"window_998562","chr15",41892500,41902500,10001,"*",99,39.2857142857143,"window_998562","105370792",41892777,41899528,6752,"+",0,"includeFeature",0,"LOC105370792","uncharacterized LOC105370792"
"window_998562.1","chr15",41892500,41902500,10001,"*",99,39.2857142857143,"window_998562","51332",41848146,41894053,45908,"-",0,"overlapStart",0,"SPTBN5","spectrin beta, non-erythrocytic 5"
"window_998592","chr15",41967500,41977500,10001,"*",99,39.2857142857143,"window_998592","30844",41895933,41972557,76625,"-",0,"overlapStart",0,"EHD4","EH domain containing 4"
"window_998592.1","chr15",41967500,41977500,10001,"*",99,39.2857142857143,"window_998592","101928388",41972763,41999094,26332,"+",0,"overlapStart",0,"PLA2G4E-AS1","PLA2G4E antisense RNA 1"
"window_998688","chr15",42207500,42217500,10001,"*",99,39.2857142857143,"window_998688","23339",42158701,42208316,49616,"-",0,"overlapStart",0,"VPS39","VPS39 subunit of HOPS complex"
"window_1001260","chr15",48637500,48647500,10001,"*",99,39.2857142857143,"window_1001260","2200",48408306,48645849,237544,"-",0,"overlapStart",0,"FBN1","fibrillin 1"
"window_1001356","chr15",48877500,48887500,10001,"*",99,39.2857142857143,"window_1001356","23741",48878134,48880173,2040,"+",0,"includeFeature",0,"EID1","EP300 interacting inhibitor of differentiation 1"
"window_1002610","chr15",52012500,52022500,10001,"*",99,39.2857142857143,"window_1002610","112543478",52010999,52019095,8097,"-",0,"overlapStart",0,"MAPK6-DT","MAPK6 divergent transcript"
"window_1007245","chr15",63600000,63610000,10001,"*",99,39.2857142857143,"window_1007245","283807",63597353,63602428,5076,"+",0,"overlapEnd",2646,"FBXL22","F-box and leucine rich repeat protein 22"
"window_1007245.1","chr15",63600000,63610000,10001,"*",99,39.2857142857143,"window_1007245","100130855",63552912,63601589,48678,"-",0,"overlapStart",0,"USP3-AS1","USP3 antisense RNA 1"
"window_1011228","chr15",73557500,73567500,10001,"*",99,39.2857142857143,"window_1011228","101241892",73567012,73569294,2283,"-",0,"overlapEnd",1793,"NPTN-IT1","NPTN intronic transcript 1"
"window_1011279","chr15",73685000,73695000,10001,"*",99,39.2857142857143,"window_1011279","80381",73683966,73714514,30549,"+",0,"inside",1033,"CD276","CD276 molecule"
"window_1011575","chr15",74425000,74435000,10001,"*",99,39.2857142857143,"window_1011575","8482",74409289,74433958,24670,"-",0,"overlapStart",0,"SEMA7A","semaphorin 7A (John Milton Hagen blood group)"
"window_1011779","chr15",74935000,74945000,10001,"*",99,39.2857142857143,"window_1011779","9377",74919791,74938083,18293,"-",0,"overlapStart",0,"COX5A","cytochrome c oxidase subunit 5A"
"window_1013204","chr15",78497500,78507500,10001,"*",99,39.2857142857143,"window_1013204","123688",78507564,78537372,29809,"+",63,"upstream",63,"HYKK","hydroxylysine kinase"
"window_1015643","chr15",84595000,84605000,10001,"*",99,39.2857142857143,"window_1015643","54993",84600986,84623717,22732,"+",0,"overlapStart",0,"ZSCAN2","zinc finger and SCAN domain containing 2"
"window_1017761","chr15",89890000,89900000,10001,"*",99,39.2857142857143,"window_1017761","10239",89830599,89894028,63430,"-",0,"overlapStart",0,"AP3S2","adaptor related protein complex 3 subunit sigma 2"
"window_1017839","chr15",90085000,90095000,10001,"*",99,39.2857142857143,"window_1017839","109729181",90074515,90082207,7693,"-",2792,"upstream",2792,"ZNF710-AS1","ZNF710 antisense RNA 1"
