"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_15020.1","chr1",37547500,37557500,10001,"*",159,63.0952380952381,"window_15020","7802",37556919,37566857,9939,"+",0,"overlapStart",0,"DNALI1","dynein axonemal light intermediate chain 1"
"window_15200","chr1",37997500,38007500,10001,"*",159,63.0952380952381,"window_15200","2275",37996770,38005606,8837,"-",0,"overlapStart",0,"FHL3","four and a half LIM domains 3"
"window_15200.1","chr1",37997500,38007500,10001,"*",159,63.0952380952381,"window_15200","51118",38009258,38024820,15563,"+",1757,"upstream",1757,"UTP11","UTP11 small subunit processome component"
"window_15829","chr1",39570000,39580000,10001,"*",159,63.0952380952381,"window_15829","677834",39567374,39567508,135,"-",2491,"upstream",2491,"SNORA55","small nucleolar RNA, H/ACA box 55"
"window_15829.1","chr1",39570000,39580000,10001,"*",159,63.0952380952381,"window_15829","8761",39560816,39576790,15975,"-",0,"overlapStart",0,"PABPC4","poly(A) binding protein cytoplasmic 4"
"window_15830","chr1",39572500,39582500,10001,"*",159,63.0952380952381,"window_15830","8761",39560816,39576790,15975,"-",0,"overlapStart",0,"PABPC4","poly(A) binding protein cytoplasmic 4"
"window_18137","chr1",45340000,45350000,10001,"*",159,63.0952380952381,"window_18137","114034",45340052,45343973,3922,"+",0,"includeFeature",0,"TOE1","target of EGR1, exonuclease"
"window_18251","chr1",45625000,45635000,10001,"*",159,63.0952380952381,"window_18251","149483",45620044,45624057,4014,"-",942,"upstream",942,"CCDC17","coiled-coil domain containing 17"
"window_24974","chr1",62432500,62442500,10001,"*",159,63.0952380952381,"window_24974","7398",62436297,62451804,15508,"+",0,"overlapStart",0,"USP1","ubiquitin specific peptidase 1"
"window_24975","chr1",62435000,62445000,10001,"*",159,63.0952380952381,"window_24975","7398",62436297,62451804,15508,"+",0,"overlapStart",0,"USP1","ubiquitin specific peptidase 1"
"window_43794","chr1",109482500,109492500,10001,"*",159,63.0952380952381,"window_43794","127002",109483479,109492804,9326,"+",0,"overlapStart",0,"ATXN7L2","ataxin 7 like 2"
"window_43794.1","chr1",109482500,109492500,10001,"*",159,63.0952380952381,"window_43794","284613",109494052,109502932,8881,"+",1551,"upstream",1551,"CYB561D1","cytochrome b561 family member D1"
"window_45888","chr1",114717500,114727500,10001,"*",159,63.0952380952381,"window_45888","4893",114704469,114716771,12303,"-",728,"upstream",728,"NRAS","NRAS proto-oncogene, GTPase"
"window_60092","chr1",150227500,150237500,10001,"*",159,63.0952380952381,"window_60092","81611",150218417,150236156,17740,"-",0,"overlapStart",0,"ANP32E","acidic nuclear phosphoprotein 32 family member E"
"window_60106","chr1",150262500,150272500,10001,"*",159,63.0952380952381,"window_60106","79630",150268200,150280916,12717,"+",0,"overlapStart",0,"C1orf54","chromosome 1 open reading frame 54"
"window_60106.1","chr1",150262500,150272500,10001,"*",159,63.0952380952381,"window_60106","51107",150265399,150269303,3905,"-",0,"includeFeature",0,"APH1A","aph-1 homolog A, gamma-secretase subunit"
