"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_705122.1","chr9",70260000,70270000,10001,"*",136,53.968253968254,"window_705122","23137",70258978,70354873,95896,"+",0,"inside",1021,"SMC5","structural maintenance of chromosomes 5"
"window_710464","chr9",83615000,83625000,10001,"*",136,53.968253968254,"window_710464","414328",83623049,83644130,21082,"+",0,"overlapStart",0,"IDNK","IDNK gluconokinase"
"window_714448","chr9",93575000,93585000,10001,"*",136,53.968253968254,"window_714448","5253",93576584,93679587,103004,"+",0,"overlapStart",0,"PHF2","PHD finger protein 2"
"window_714449","chr9",93577500,93587500,10001,"*",136,53.968253968254,"window_714449","5253",93576584,93679587,103004,"+",0,"inside",915,"PHF2","PHD finger protein 2"
"window_716534","chr9",98790000,98800000,10001,"*",136,53.968253968254,"window_716534","203286",98731329,98796965,65637,"-",0,"overlapStart",0,"ANKS6","ankyrin repeat and sterile alpha motif domain containing 6"
"window_728097","chr9",127697500,127707500,10001,"*",136,53.968253968254,"window_728097","286207",127706988,127716002,9015,"+",0,"overlapStart",0,"CFAP157","cilia and flagella associated protein 157"
"window_728489","chr9",128677500,128687500,10001,"*",136,53.968253968254,"window_728489","6418",128683655,128696400,12746,"+",0,"overlapStart",0,"SET","SET nuclear proto-oncogene"
"window_728593","chr9",128937500,128947500,10001,"*",136,53.968253968254,"window_728593","23511",128941478,129007096,65619,"+",0,"overlapStart",0,"NUP188","nucleoporin 188"
"window_728593.1","chr9",128937500,128947500,10001,"*",136,53.968253968254,"window_728593","22845",128945530,128947619,2090,"-",0,"overlapEnd",118,"DOLK","dolichol kinase"
"window_728866","chr9",129620000,129630000,10001,"*",136,53.968253968254,"window_728866","375759",129612225,129620776,8552,"-",0,"overlapStart",0,"C9orf50","chromosome 9 open reading frame 50"
"window_728939","chr9",129802500,129812500,10001,"*",136,53.968253968254,"window_728939","27348",129803157,129811281,8125,"+",0,"includeFeature",0,"TOR1B","torsin family 1 member B"
"window_730242","chr9",133060000,133070000,10001,"*",136,53.968253968254,"window_730242","1056",133061978,133071861,9884,"+",0,"overlapStart",0,"CEL","carboxyl ester lipase"
"window_731453","chr9",136087500,136097500,10001,"*",136,53.968253968254,"window_731453","138151",136006537,136095289,88753,"-",0,"overlapStart",0,"NACC2","NACC family member 2"
"window_731634","chr9",136540000,136550000,10001,"*",136,53.968253968254,"window_731634","4851",136494433,136546048,51616,"-",0,"overlapStart",0,"NOTCH1","notch receptor 1"
"window_731634.1","chr9",136540000,136550000,10001,"*",136,53.968253968254,"window_731634","101928483",136546212,136549893,3682,"+",0,"includeFeature",0,"NALT1","NOTCH1 associated lncRNA in T cell acute lymphoblastic leukemia 1"
"window_731634.2","chr9",136540000,136550000,10001,"*",136,53.968253968254,"window_731634","100616301",136546173,136546259,87,"-",0,"includeFeature",0,"MIR4674","microRNA 4674"
"window_732000","chr9",137455000,137465000,10001,"*",136,53.968253968254,"window_732000","26012",137447573,137459334,11762,"-",0,"overlapStart",0,"NSMF","NMDA receptor synaptonuclear signaling and neuronal migration factor"
"window_732697","chr11",802500,812500,10001,"*",136,53.968253968254,"window_732697","55367",799179,809523,10345,"-",0,"overlapStart",0,"PIDD1","p53-induced death domain protein 1"
"window_732697.1","chr11",802500,812500,10001,"*",136,53.968253968254,"window_732697","6181",809965,812880,2916,"+",0,"overlapStart",0,"RPLP2","ribosomal protein lateral stalk subunit P2"
"window_732697.2","chr11",802500,812500,10001,"*",136,53.968253968254,"window_732697","619565",811681,811814,134,"+",0,"includeFeature",0,"SNORA52","small nucleolar RNA, H/ACA box 52"
"window_736126","chr11",9375000,9385000,10001,"*",136,53.968253968254,"window_736126","10527",9384652,9448127,63476,"+",0,"overlapStart",0,"IPO7","importin 7"
"window_736695","chr11",10797500,10807500,10001,"*",136,53.968253968254,"window_736695","692223",10801467,10801608,142,"-",0,"includeFeature",0,"SNORD97","small nucleolar RNA, C/D box 97"
"window_736695.1","chr11",10797500,10807500,10001,"*",136,53.968253968254,"window_736695","1982",10797050,10808940,11891,"-",0,"inside",1439,"EIF4G2","eukaryotic translation initiation factor 4 gamma 2"
"window_736695.2","chr11",10797500,10807500,10001,"*",136,53.968253968254,"window_736695","101928053",10809204,10822931,13728,"+",1703,"upstream",1703,"LOC101928053","uncharacterized LOC101928053"
"window_739704","chr11",18320000,18330000,10001,"*",136,53.968253968254,"window_739704","11234",18278668,18322198,43531,"-",0,"overlapStart",0,"HPS5","HPS5 biogenesis of lysosomal organelles complex 2 subunit 2"
"window_739704.1","chr11",18320000,18330000,10001,"*",136,53.968253968254,"window_739704","2965",18322295,18367045,44751,"+",0,"overlapStart",0,"GTF2H1","general transcription factor IIH subunit 1"
"window_750929","chr11",46382500,46392500,10001,"*",136,53.968253968254,"window_750929","4192",46380756,46383837,3082,"+",0,"overlapEnd",1743,"MDK","midkine"
"window_757226","chr11",62125000,62135000,10001,"*",136,53.968253968254,"window_757226","3619",62123998,62153169,29172,"+",0,"inside",1001,"INCENP","inner centromere protein"
"window_757454","chr11",62695000,62705000,10001,"*",136,53.968253968254,"window_757454","2785",62707676,62709201,1526,"+",2675,"upstream",2675,"GNG3","G protein subunit gamma 3"
"window_757493","chr11",62792500,62802500,10001,"*",136,53.968253968254,"window_757493","79064",62771629,62792006,20378,"-",493,"upstream",493,"TMEM223","transmembrane protein 223"
"window_757493.1","chr11",62792500,62802500,10001,"*",136,53.968253968254,"window_757493","102465257",62792702,62792771,70,"-",0,"includeFeature",0,"MIR6514","microRNA 6514"
"window_757513","chr11",62842500,62852500,10001,"*",136,53.968253968254,"window_757513","54663",62832911,62841809,8899,"-",690,"upstream",690,"WDR74","WD repeat domain 74"
"window_757513.1","chr11",62842500,62852500,10001,"*",136,53.968253968254,"window_757513","9304",62851988,62853145,1158,"-",0,"overlapEnd",644,"SNORD22","small nucleolar RNA, C/D box 22"
"window_757517","chr11",62852500,62862500,10001,"*",136,53.968253968254,"window_757517","9304",62851988,62853145,1158,"-",0,"overlapStart",0,"SNORD22","small nucleolar RNA, C/D box 22"
"window_757517.1","chr11",62852500,62862500,10001,"*",136,53.968253968254,"window_757517","23642",62851984,62855953,3970,"-",0,"overlapStart",0,"SNHG1","small nucleolar RNA host gene 1"
"window_757517.2","chr11",62852500,62862500,10001,"*",136,53.968253968254,"window_757517","6520",62856102,62888875,32774,"+",0,"overlapStart",0,"SLC3A2","solute carrier family 3 member 2"
"window_757517.3","chr11",62852500,62862500,10001,"*",136,53.968253968254,"window_757517","9299",62853663,62853732,70,"-",0,"includeFeature",0,"SNORD30","small nucleolar RNA, C/D box 30"
"window_757517.4","chr11",62852500,62862500,10001,"*",136,53.968253968254,"window_757517","9300",62854621,62854695,75,"-",0,"includeFeature",0,"SNORD28","small nucleolar RNA, C/D box 28"
"window_757517.5","chr11",62852500,62862500,10001,"*",136,53.968253968254,"window_757517","9301",62855012,62855083,72,"-",0,"includeFeature",0,"SNORD27","small nucleolar RNA, C/D box 27"
