"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_938","chr1",2342500,2352500,10001,"*",26,10.3174603174603,"window_938","100129534",2350414,2352820,2407,"-",0,"overlapEnd",319,"LOC100129534","small nuclear ribonucleoprotein polypeptide N pseudogene"
"window_1247","chr1",3115000,3125000,10001,"*",26,10.3174603174603,"window_1247","100422968",3127975,3128035,61,"+",2974,"upstream",2974,"MIR4251","microRNA 4251"
"window_1252","chr1",3127500,3137500,10001,"*",26,10.3174603174603,"window_1252","100422968",3127975,3128035,61,"+",0,"includeFeature",0,"MIR4251","microRNA 4251"
"window_2347","chr1",5865000,5875000,10001,"*",26,10.3174603174603,"window_2347","100616421",5862672,5862741,70,"-",2258,"upstream",2258,"MIR4689","microRNA 4689"
"window_3578","chr1",8942500,8952500,10001,"*",26,10.3174603174603,"window_3578","765",8945867,8975092,29226,"+",0,"overlapStart",0,"CA6","carbonic anhydrase 6"
"window_3579","chr1",8945000,8955000,10001,"*",26,10.3174603174603,"window_3579","765",8945867,8975092,29226,"+",0,"overlapStart",0,"CA6","carbonic anhydrase 6"
"window_3981","chr1",9950000,9960000,10001,"*",26,10.3174603174603,"window_3981","113391335",9950572,9960787,10216,"-",0,"overlapEnd",786,"TMEM274P","transmembrane protein 274, pseudogene"
"window_7543","chr1",18855000,18865000,10001,"*",26,10.3174603174603,"window_7543","80834",18839599,18859682,20084,"-",0,"overlapStart",0,"TAS1R2","taste 1 receptor member 2"
"window_7544","chr1",18857500,18867500,10001,"*",26,10.3174603174603,"window_7544","80834",18839599,18859682,20084,"-",0,"overlapStart",0,"TAS1R2","taste 1 receptor member 2"
"window_7969","chr1",19920000,19930000,10001,"*",26,10.3174603174603,"window_7969","30814",19920009,19923617,3609,"-",0,"includeFeature",0,"PLA2G2E","phospholipase A2 group IIE"
"window_8722","chr1",21802500,21812500,10001,"*",26,10.3174603174603,"window_8722","401944",21812265,21825225,12961,"+",0,"overlapStart",0,"LDLRAD2","low density lipoprotein receptor class A domain containing 2"
"window_9062","chr1",22652500,22662500,10001,"*",26,10.3174603174603,"window_9062","713",22652762,22661637,8876,"+",0,"includeFeature",0,"C1QB","complement C1q B chain"
"window_9063","chr1",22655000,22665000,10001,"*",26,10.3174603174603,"window_9063","713",22652762,22661637,8876,"+",0,"overlapEnd",2237,"C1QB","complement C1q B chain"
"window_9270","chr1",23172500,23182500,10001,"*",26,10.3174603174603,"window_9270","7798",23084023,23177808,93786,"-",0,"overlapStart",0,"LUZP1","leucine zipper protein 1"
"window_9434","chr1",23582500,23592500,10001,"*",26,10.3174603174603,"window_9434","259283",23581495,23640568,59074,"+",0,"inside",1004,"MDS2","myelodysplastic syndrome 2 translocation associated"
"window_9642","chr1",24102500,24112500,10001,"*",26,10.3174603174603,"window_9642","127294",24056035,24112135,56101,"-",0,"overlapStart",0,"MYOM3","myomesin 3"
"window_10010","chr1",25022500,25032500,10001,"*",26,10.3174603174603,"window_10010","100616365",25023503,25023586,84,"+",0,"includeFeature",0,"MIR4425","microRNA 4425"
"window_10562","chr1",26402500,26412500,10001,"*",26,10.3174603174603,"window_10562","79727",26410817,26429728,18912,"+",0,"overlapStart",0,"LIN28A","lin-28 homolog A"
"window_10867","chr1",27165000,27175000,10001,"*",26,10.3174603174603,"window_10867","6548",27098809,27166981,68173,"-",0,"overlapStart",0,"SLC9A1","solute carrier family 9 member A1"
